"BIXC031K.Code.or.Value","BIXC031K.Value.Description","BIXC031K.Count","BIXC031K.Cumulative","BIXC031K.Skip.to.Item"
"28.87 to 239.69","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
