"WBXP004.Code.or.Value","WBXP004.Value.Description","WBXP004.Count","WBXP004.Cumulative","WBXP004.Skip.to.Item"
"-134.8175 to 148.887","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
