"URDUASLC.Code.or.Value","URDUASLC.Value.Description","URDUASLC.Count","URDUASLC.Cumulative","URDUASLC.Skip.to.Item"
"0","At or above the detection limit",2594,2594,NA
"1","Below lower detection limit",11,2605,NA
".","Missing",115,2720,NA
