"SXQ590.Code.or.Value","SXQ590.Value.Description","SXQ590.Count","SXQ590.Cumulative","SXQ590.Skip.to.Item"
"0 to 20","Range of Values",928,928,NA
"77777","Refused",0,928,NA
"99999","Don't know",1,929,NA
".","Missing",3867,4796,NA
