"ARQ021BE.Code.or.Value","ARQ021BE.Value.Description","ARQ021BE.Count","ARQ021BE.Cumulative","ARQ021BE.Skip.to.Item"
"2","aching,",215,215,NA
".","Missing",4891,5106,NA
