"SPAPLAT.Code.or.Value","SPAPLAT.Value.Description","SPAPLAT.Count","SPAPLAT.Cumulative","SPAPLAT.Skip.to.Item"
"Y","Yes",27354,27354,NA
"N","No",9067,36421,NA
"< blank >","Missing",0,36421,NA
