"LBXPFBS.Code.or.Value","LBXPFBS.Value.Description","LBXPFBS.Count","LBXPFBS.Cumulative","LBXPFBS.Skip.to.Item"
"0.07 to 0.8","Range of Values",1904,1904,NA
".","Missing",273,2177,NA
