"WHD100A.Code.or.Value","WHD100A.Value.Description","WHD100A.Count","WHD100A.Cumulative","WHD100A.Skip.to.Item"
"10","Ate less food (amount)",239,239,NA
"77","Refused",0,239,NA
"99","Don't know",0,239,NA
".","Missing",6307,6546,NA
