"PUD031.Code.or.Value","PUD031.Value.Description","PUD031.Count","PUD031.Cumulative","PUD031.Skip.to.Item"
"1","Yes",1196,1196,""
"2","No",751,1947,"PUD033"
".","Missing",8175,10122,""
