"MPD050o.Code.or.Value","MPD050o.Value.Description","MPD050o.Count","MPD050o.Cumulative","MPD050o.Skip.to.Item"
"24","Fingers/thumb - right",506,506,NA
".","Missing",4374,4880,NA
