"WHD100a.Code.or.Value","WHD100a.Value.Description","WHD100a.Count","WHD100a.Cumulative","WHD100a.Skip.to.Item"
"10","Ate less food (amount)",1377,1377,NA
"77","Refused",0,1377,NA
"99","Don't know",2,1379,NA
".","Missing",5255,6634,NA
