"BIXC500K.Code.or.Value","BIXC500K.Value.Description","BIXC500K.Count","BIXC500K.Cumulative","BIXC500K.Skip.to.Item"
"8.9 to 133.41","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
