"RFXT004.Code.or.Value","RFXT004.Value.Description","RFXT004.Count","RFXT004.Cumulative","RFXT004.Skip.to.Item"
"18 to 27","Range of Values",51076,51076,NA
".","Missing",0,51076,NA
