"DXXSQSCR.Code.or.Value","DXXSQSCR.Value.Description","DXXSQSCR.Count","DXXSQSCR.Cumulative","DXXSQSCR.Skip.to.Item"
"0 to 3","Range of Values",3244,3244,NA
".","Missing",464,3708,NA
