"CVDR2DI.Code.or.Value","CVDR2DI.Value.Description","CVDR2DI.Count","CVDR2DI.Cumulative","CVDR2DI.Skip.to.Item"
"39 to 155","Range of Values",2951,2951,NA
".","Missing",1712,4663,NA
