"MCQ365a.Code.or.Value","MCQ365a.Value.Description","MCQ365a.Count","MCQ365a.Cumulative","MCQ365a.Skip.to.Item"
"1","Yes",1537,1537,NA
"2","No",4636,6173,NA
"7","Refused",1,6174,NA
"9","Don't know",0,6174,NA
".","Missing",3190,9364,NA
