"VIXKLD1.Code.or.Value","VIXKLD1.Value.Description","VIXKLD1.Count","VIXKLD1.Cumulative","VIXKLD1.Skip.to.Item"
"33.75 to 55","Range of Values",6451,6451,NA
"88","Could not obtain",42,6493,NA
".","Missing",497,6990,NA
