"BPQ040C.Code.or.Value","BPQ040C.Value.Description","BPQ040C.Count","BPQ040C.Cumulative","BPQ040C.Skip.to.Item"
"1","Yes",1092,1092,NA
"2","No",580,1672,NA
"7","Refused",0,1672,NA
"9","Don't know",9,1681,NA
".","Missing",4953,6634,NA
