"AUDTYR38.Code.or.Value","AUDTYR38.Value.Description","AUDTYR38.Count","AUDTYR38.Cumulative","AUDTYR38.Skip.to.Item"
"0 to 2.53","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
