"DRD370J.Code.or.Value","DRD370J.Value.Description","DRD370J.Count","DRD370J.Cumulative","DRD370J.Skip.to.Item"
"1","Yes",13,13,""
"2","No",5937,5950,"DRD370K"
".","Missing",4303,10253,""
