"MCQ240v.Code.or.Value","MCQ240v.Value.Description","MCQ240v.Count","MCQ240v.Cumulative","MCQ240v.Skip.to.Item"
"48 to 65","Range of Values",4,4,NA
"80","80 years or older",1,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",9359,9364,NA
