"DR1IS100.Code.or.Value","DR1IS100.Value.Description","DR1IS100.Count","DR1IS100.Cumulative","DR1IS100.Skip.to.Item"
"0 to 5.089","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
