"OHD31LAM.Code.or.Value","OHD31LAM.Value.Description","OHD31LAM.Count","OHD31LAM.Cumulative","OHD31LAM.Skip.to.Item"
"0 to 10","Range of Values",1989,1989,NA
"99","Calculation cannot be determined",568,2557,NA
".","Missing",4161,6718,NA
