"DRXIVB6.Code.or.Value","DRXIVB6.Value.Description","DRXIVB6.Count","DRXIVB6.Cumulative","DRXIVB6.Skip.to.Item"
"0 to 17.71","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
