"DR2IM181.Code.or.Value","DR2IM181.Value.Description","DR2IM181.Count","DR2IM181.Cumulative","DR2IM181.Skip.to.Item"
"0 to 93.836","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
