"OPDSGA.Code.or.Value","OPDSGA.Value.Description","OPDSGA.Count","OPDSGA.Cumulative","OPDSGA.Skip.to.Item"
"0","No",3085,3085,NA
"1","Yes",10,3095,NA
".","Missing",768,3863,NA
