"SMD630.Code.or.Value","SMD630.Value.Description","SMD630.Count","SMD630.Cumulative","SMD630.Skip.to.Item"
"8 to 17","Range of Values",42,42,""
"6","6 years or less",0,42,""
"77","Refused",0,42,"SMAQUEX2"
"99","Don't know",0,42,"SMAQUEX2"
".","Missing",6682,6724,""
