"LBDALCSI.Code.or.Value","LBDALCSI.Value.Description","LBDALCSI.Count","LBDALCSI.Cumulative","LBDALCSI.Skip.to.Item"
"0.009 to 4.266","Range of Values",6282,6282,NA
".","Missing",1153,7435,NA
