"DXDTOBMD.Code.or.Value","DXDTOBMD.Value.Description","DXDTOBMD.Count","DXDTOBMD.Cumulative","DXDTOBMD.Skip.to.Item"
"0.559 to 1.548","Range of Values",5068,5068,NA
".","Missing",965,6033,NA
