"VTQ280H.Code.or.Value","VTQ280H.Value.Description","VTQ280H.Count","VTQ280H.Cumulative","VTQ280H.Skip.to.Item"
"1","Yes",58,58,NA
"2","No",3060,3118,NA
"7","Refused",0,3118,NA
"9","Don't know",0,3118,NA
".","Missing",297,3415,NA
