"MCQ160f.Code.or.Value","MCQ160f.Value.Description","MCQ160f.Count","MCQ160f.Cumulative","MCQ160f.Skip.to.Item"
"1","Yes",229,229,NA
"2","No",5326,5555,NA
"7","Refused",1,5556,NA
"9","Don't know",3,5559,NA
".","Missing",3805,9364,NA
