"DR1TVB2.Code.or.Value","DR1TVB2.Value.Description","DR1TVB2.Count","DR1TVB2.Cumulative","DR1TVB2.Skip.to.Item"
"0 to 18.534","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
