"CVDR2SY.Code.or.Value","CVDR2SY.Value.Description","CVDR2SY.Count","CVDR2SY.Cumulative","CVDR2SY.Skip.to.Item"
"75 to 254","Range of Values",3147,3147,NA
".","Missing",2005,5152,NA
