"DXXTRFAT.Code.or.Value","DXXTRFAT.Value.Description","DXXTRFAT.Count","DXXTRFAT.Cumulative","DXXTRFAT.Skip.to.Item"
"1042.7 to 51926.4","Range of Values",4621,4621,NA
".","Missing",1071,5692,NA
