"LBXB12.Code.or.Value","LBXB12.Value.Description","LBXB12.Count","LBXB12.Cumulative","LBXB12.Skip.to.Item"
"47 to 201810","Range of Values",7524,7524,NA
".","Missing",1308,8832,NA
