"WBXP048.Code.or.Value","WBXP048.Value.Description","WBXP048.Count","WBXP048.Cumulative","WBXP048.Skip.to.Item"
"-122.5018 to 166.6183","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
