"DS2ACTSS.Code.or.Value","DS2ACTSS.Value.Description","DS2ACTSS.Count","DS2ACTSS.Cumulative","DS2ACTSS.Skip.to.Item"
"0.01 to 9","Range of Values",5508,5508,NA
"999","Don't know",0,5508,NA
".","Missing",90,5598,NA
