"PAD160.Code.or.Value","PAD160.Value.Description","PAD160.Count","PAD160.Cumulative","PAD160.Skip.to.Item"
"1 to 600","Range of Values",3482,3482,NA
"77777","Refused",0,3482,NA
"99999","Don't know",0,3482,NA
".","Missing",6612,10094,NA
