"LBXSCH.Code.or.Value","LBXSCH.Value.Description","LBXSCH.Count","LBXSCH.Cumulative","LBXSCH.Skip.to.Item"
"72 to 649","Range of Values",6433,6433,NA
".","Missing",547,6980,NA
