"RFXT034.Code.or.Value","RFXT034.Value.Description","RFXT034.Count","RFXT034.Cumulative","RFXT034.Skip.to.Item"
"283 to 292","Range of Values",51067,51067,NA
".","Missing",9,51076,NA
