"DEQ034C.Code.or.Value","DEQ034C.Value.Description","DEQ034C.Count","DEQ034C.Cumulative","DEQ034C.Skip.to.Item"
"1","Always",234,234,NA
"2","Most of the time",230,464,NA
"3","Sometimes",750,1214,NA
"4","Rarely, or",737,1951,NA
"5","Never?",2167,4118,NA
"7","Refused",0,4118,NA
"9","Don't know",2,4120,NA
".","Missing",25,4145,NA
