"LBDALCSI.Code.or.Value","LBDALCSI.Value.Description","LBDALCSI.Count","LBDALCSI.Cumulative","LBDALCSI.Skip.to.Item"
"0.013 to 3.551","Range of Values",7614,7614,NA
"0.009","Fill Value of Limit of Detection",745,8359,NA
".","Missing",903,9262,NA
