"AUXRR250.Code.or.Value","AUXRR250.Value.Description","AUXRR250.Count","AUXRR250.Cumulative","AUXRR250.Skip.to.Item"
"-22 to 83","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
