"DR2TLYCO.Code.or.Value","DR2TLYCO.Value.Description","DR2TLYCO.Count","DR2TLYCO.Cumulative","DR2TLYCO.Skip.to.Item"
"0 to 217650","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
