"OHD06LAM.Code.or.Value","OHD06LAM.Value.Description","OHD06LAM.Count","OHD06LAM.Cumulative","OHD06LAM.Skip.to.Item"
"0 to 12","Range of Values",2533,2533,NA
"99","Calculation cannot be determined",266,2799,NA
".","Missing",4331,7130,NA
