"DR1ISELE.Code.or.Value","DR1ISELE.Value.Description","DR1ISELE.Count","DR1ISELE.Cumulative","DR1ISELE.Skip.to.Item"
"0 to 523.4","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
