"OSQ020c.Code.or.Value","OSQ020c.Value.Description","OSQ020c.Count","OSQ020c.Cumulative","OSQ020c.Skip.to.Item"
"1 to 5","Range of Values",91,91,NA
"7777","Refused",0,91,NA
"9999","Don't know",1,92,NA
".","Missing",4788,4880,NA
