"BIXC008K.Code.or.Value","BIXC008K.Value.Description","BIXC008K.Count","BIXC008K.Cumulative","BIXC008K.Skip.to.Item"
"15.62 to 744.16","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
