"VTQ210.Code.or.Value","VTQ210.Value.Description","VTQ210.Count","VTQ210.Cumulative","VTQ210.Skip.to.Item"
"1","Yes",1133,1133,NA
"2","No",1792,2925,NA
"7","Refused",0,2925,NA
"9","Don't know",1,2926,NA
".","Missing",468,3394,NA
