"DR1TM161.Code.or.Value","DR1TM161.Value.Description","DR1TM161.Count","DR1TM161.Cumulative","DR1TM161.Skip.to.Item"
"0 to 12.502","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
