"PFQ061Q.Code.or.Value","PFQ061Q.Value.Description","PFQ061Q.Count","PFQ061Q.Cumulative","PFQ061Q.Skip.to.Item"
"1","No difficulty",1920,1920,NA
"2","Some difficulty",622,2542,NA
"3","Much difficulty",164,2706,NA
"4","Unable to do",90,2796,NA
"5","Do not do this activity",129,2925,NA
"7","Refused",0,2925,NA
"9","Don't know",2,2927,NA
".","Missing",5494,8421,NA
