"TYXP169.Code.or.Value","TYXP169.Value.Description","TYXP169.Count","TYXP169.Cumulative","TYXP169.Skip.to.Item"
"-297 to 0","Range of Values",3521,3521,NA
".","Missing",4948,8469,NA
