"WTSPH25.Code.or.Value","WTSPH25.Value.Description","WTSPH25.Count","WTSPH25.Cumulative","WTSPH25.Skip.to.Item"
"0 to 784085.31241","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
