"LBDF02LC.Code.or.Value","LBDF02LC.Value.Description","LBDF02LC.Count","LBDF02LC.Cumulative","LBDF02LC.Skip.to.Item"
"0","detectable result",31,31,NA
"1","below detectable limit",1836,1867,NA
".","Missing",418,2285,NA
