"URXCOP.Code.or.Value","URXCOP.Value.Description","URXCOP.Count","URXCOP.Cumulative","URXCOP.Skip.to.Item"
"0.21 to 1096.7","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
