"AUXU3KR.Code.or.Value","AUXU3KR.Value.Description","AUXU3KR.Count","AUXU3KR.Cumulative","AUXU3KR.Skip.to.Item"
"-10 to 120","Range of Values",2180,2180,NA
"666","No response",7,2187,NA
"888","Could not obtain",15,2202,NA
".","Missing",166,2368,NA
