"DR2IP204.Code.or.Value","DR2IP204.Value.Description","DR2IP204.Count","DR2IP204.Cumulative","DR2IP204.Skip.to.Item"
"0 to 1.04","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
