"FFQ0014B.Code.or.Value","FFQ0014B.Value.Description","FFQ0014B.Count","FFQ0014B.Cumulative","FFQ0014B.Skip.to.Item"
1,"Yes",5371,5371,""
2,"No",342,5713,"FFQ0015"
88,"Blank",759,6472,""
99,"Error",0,6472,""
