"PUD010.Code.or.Value","PUD010.Value.Description","PUD010.Count","PUD010.Cumulative","PUD010.Skip.to.Item"
"1","Yes",2233,2233,""
"2","No",7498,9731,"PUD040"
".","Missing",234,9965,""
