"MCQ180m.Code.or.Value","MCQ180m.Value.Description","MCQ180m.Count","MCQ180m.Cumulative","MCQ180m.Skip.to.Item"
"1 to 79","Range of Values",485,485,NA
"80","80 years or older",17,502,NA
"77777","Refused",0,502,NA
"99999","Don't know",9,511,NA
".","Missing",8853,9364,NA
