"DLQ130.Code.or.Value","DLQ130.Value.Description","DLQ130.Count","DLQ130.Cumulative","DLQ130.Skip.to.Item"
"1","A little",2238,2238,NA
"2","A lot",574,2812,NA
"3","Somewhere in between a little and a lot",1740,4552,NA
"7","Refused",2,4554,NA
"9","Don't know",7,4561,NA
".","Missing",5014,9575,NA
