"ECD070A.Code.or.Value","ECD070A.Value.Description","ECD070A.Count","ECD070A.Cumulative","ECD070A.Skip.to.Item"
"1 to 12","Range of Values",4257,4257,NA
"13","13 pounds or more",6,4263,NA
"7777","Refused",0,4263,NA
"9999","Don't know",141,4404,NA
".","Missing",1,4405,NA
