"AUXRR143.Code.or.Value","AUXRR143.Value.Description","AUXRR143.Count","AUXRR143.Cumulative","AUXRR143.Skip.to.Item"
"-33 to 78","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
