"MGQ90DG.Code.or.Value","MGQ90DG.Value.Description","MGQ90DG.Count","MGQ90DG.Cumulative","MGQ90DG.Skip.to.Item"
"1","Yes",7122,7122,NA
"2","No - Not right hand",29,7151,NA
"3","No - Not left hand",14,7165,NA
"4","No - Not either hand",12,7177,NA
".","Missing",644,7821,NA
